Employer,Title,City,Job ID,Time Posted,Job Board,Lat,Lng,CityCount
CyberCoders,REMOTE Data Analyst (Mobile Gaming),Dallas TX,sja0,Today,Indeed.com,32.7762719,-96.7968559,56
ST Strategy & Technology,CMDB & Service Catalog Data Analyst.,Dallas TX,jl_146f40a3fff8811e,Today,Indeed.com,32.7762719,-96.7968559,56
"JPMorgan Chase Bank, N.A.","Wealth Management, Client Data Analyst",Plano TX,jl_951b2eb74063600d,Today,Indeed.com,33.0136764,-96.6925096,18
Interior Logic Group,Sr. Business Analyst,Dallas TX,jl_32dc07a80eb5f30f,Today,Indeed.com,32.7762719,-96.7968559,56
"JPMorgan Chase Bank, N.A.","Strategic Business Analyst II, Sr. Associate",Plano TX,jl_46204ef951944626,Today,Indeed.com,33.0136764,-96.6925096,18
Builders FirstSource,IT Data Analyst II IT-Service Management,Dallas TX,jl_769d4e7eb9686f02,Today,Indeed.com,32.7762719,-96.7968559,56
Aperia Solutions,Junior Business Analyst,Dallas TX,jl_5ef4a5adf9e39897,Today,Indeed.com,32.7762719,-96.7968559,56
"JPMorgan Chase Bank, N.A.",Business Analyst - Identity & Access Management,Plano TX,jl_63863aedf3979ee2,Today,Indeed.com,33.0136764,-96.6925096,18
Builders FirstSource,IT Business Analyst II IT-Service Management,Dallas TX,jl_c895df232900a77c,Today,Indeed.com,32.7762719,-96.7968559,56
Finastra,Senior Product/Business Analyst (Commercial Lending),Plano TX,jl_55ad9e6a5a7345c8,Today,Indeed.com,33.0136764,-96.6925096,18
Fannie Mae,Business Intelligence Lead - Enterprise Risk,Dallas TX,jl_dc5b7406c323d89e,Today,Indeed.com,32.7762719,-96.7968559,56
Mobile Programming LLC,Power BI Manager/Architect/Developer,Dallas TX,jl_fac245b9165a2bac,Today,Indeed.com,32.7762719,-96.7968559,56
"Infinity Consulting Solutions, Inc.",Data Analyst,Irving TX,sja12,1 day ago,Indeed.com,32.8295183,-96.9442177,8
MINT dentistry,Marketing Data Analyst,Dallas TX,jl_37f8de8c6c3f086c,1 day ago,Indeed.com,32.7762719,-96.7968559,56
Workforce Logiq,Data Analyst,Plano TX,jl_e77754da9ff7ac0f,1 day ago,Indeed.com,33.0136764,-96.6925096,18
